,Job Title,Company Name,Location,Salary,Summary
562,Intern-DFM Data Analyst,GLOBALFOUNDRIES,"Bengaluru, Karnataka",Nothing_found,"Big data skills: Spark/Pyspark/Scala/Spark SQL.
Specifically, we are looking for application of machine learning algorithms on large amounts of defect data to…"
563,"Specialist, Data Analytics system Engineer",ANI Calls India Private Limited,"Mumbai, Maharashtra","₹8,00,000 - ₹14,00,000 a year","2 - 5 years investment, finance or accounting industry experience.
Data analysis and project management experience."
564,Senior Data Engineering Analyst,UnitedHealth Group,"Hyderabad, Telangana",Nothing_found,"Quality check of Clinical data that includes CCDs, ORUs, HL7 etc..
Writing automation scripts to validate the portals getting built for data acquisition and…"
565,Director Of Engineering – Data Analytics – AdTech,CareerXperts,"Bengaluru, Karnataka",Nothing_found,"You will Head the India R&D.
We are an Advanced Analytics startup applying Machine Learning / Artificial Intelligence / Natural Language Understanding…"
566,ML Engineer,Rejolut Technology Solutions,"Navi Mumbai, Maharashtra","₹2,00,000 - ₹6,00,000 a year","Building out our adaptive learning capabilities and algorithms in conjunction with our data scientists.
Manage data science prototypes and choose associated…"
567,Data Analyst/developer associate,ANI Calls India Private Limited,"Noida, Uttar Pradesh","₹9,00,000 - ₹16,00,000 a year","3+ years of experience delivering ETL, data warehouse, and data analytics capabilities.
7+ years of experience in data analysis and documentation."
568,Security Data Analyst,Prevalent AI,"Kochi, Kerala",Nothing_found,"In-depth analysis of data sources and develop data model to support use-cases.
Technical expertise in data models, database design development, data mining and…"
569,Data/Research Analyst,PCDS Infotech,"Mumbai, Maharashtra",Nothing_found,"To analyse data for the research projects and prepare reports.
Be strong in anlaytical skills and logic and love analysing data to reveal underlying patterns."
570,"Python Data Engineer, Analyst",BlackRock,"Gurgaon, Haryana",Nothing_found,"Experience with manipulation and reconciliation of large data sets.
Implement processes for real-time data collection, storage, and analytics using OneTick."
571,"Manager, Data Science",Epsilon India,"Bengaluru, Karnataka",Nothing_found,"Prior experience in managing a team of data scientists.
We are currently on the lookout for a smart, highly driven data scientist."
572,"Data Analyst, Marketing Analyst, Business Analyst, Financial Analyst",Solitaire Infotech Solution,"Kollam, Kerala","₹3,50,000 a year","Sort and organize data after entering data.
Update data to a provided web form.
Skills to see and analyze what data fields are required, what data fields in…"
573,Management Trainee- Analytics,Shoppers Stop Ltd,"Mumbai, Maharashtra",Nothing_found,"Data driven Insights & Decisions through partnerships with Marketing, Loyalty, Customer Experience Team and Lines of Business to drive business outcomes."
574,Lead Data Scientist,Luxoft,"Bengaluru, Karnataka",Nothing_found,"Assess the effectiveness and accuracy of data sources and data gathering techniques.
Work with subject matter experts to identify opportunities for leveraging…"
575,Computer Vision Research Engineer - Machine Learning,Daimler,"Bengaluru, Karnataka",Nothing_found,"Experience working with synthetic and artificial data to solve real world problems.
Experience with object classification, gesture recognition or human pose…"
576,Young Professional II,Indira Gandhi Krishi Vishwavidyalaya,"Bastar, Chhattisgarh","₹25,000 a month",Interested candidate may apply be providing full bio-data along with testimonials/ attested certificate etc in support of their Bio-data on or before 16.12.2020…
577,Data Visualization Analyst,Meredith Corporation,"Bengaluru, Karnataka",Nothing_found,Perform data extraction and data manipulation on large datasets to achieve superior and fast visualization on Sisense.
578,"Specialist, Data Science",Invesco,"Administrative Building, Andhra Pradesh",Nothing_found,"The Data Analyst will support our research analysts, senior research management, data analysts and data scientists on data initiatives and supporting…"
579,Data Modeling Analyst,Meredith Corporation,"Bengaluru, Karnataka",Nothing_found,"Experience managing large data sets.
Ideal candidate will be data-oriented, ultra-responsive, and demonstrate passion for data analysis."
580,Data Scientist,Inspirisys Solutions Limited,"Chennai, Tamil Nadu",Nothing_found,"Should have 6+ years of experience as Data Scientist.
Should have experience in Data Analytics, Big Data, Machine Learning, AI and dashboard creation."
581,A++ Data Scientists @ Pune – High Impact!,CareerXperts,"Pune, Maharashtra",Nothing_found,"Retrieve, prepare, and process a rich data variety of data sources such as social media, news, internal/external documents, emails, financial data, and…"
582,Artificial Intelligence Developer - Machine Learning/Deep Learning,StarTele Logic,"Noida, Uttar Pradesh",Nothing_found,"Use NLP and ML techniques to bring order to unstructured data.
The ideal candidate should have experience in the latest techniques in Artificial Intelligence,…"
583,Senior Data Scientist,"Zendrive, Inc.","Bengaluru, Karnataka",Nothing_found,"Architect our data warehousing strategy.
Derive insights from data and answer difficult questions.
Can you analyse our large corpus of driving data - literally…"
584,Data Science Developer,Ajira AI,"Pune, Maharashtra",Nothing_found,"Any data visualization experience is a plus as is any background in statistics.
You keep up to date with what’s happening in the data science world and know the…"
585,Machine Learning,ANI Calls India Private Limited,"Chennai, Tamil Nadu","₹8,00,000 - ₹16,00,000 a year","Strong Computer Science fundamentals (algorithms, data structures) -.
Strong Working Python, C++, C expertise -."
586,Applied Scientist,ADCI - Karnataka,"Bengaluru, Karnataka",Nothing_found,"Strong communication and data presentation skills.
Use machine learning, data mining and statistical techniques to create new, scalable solutions for business…"
587,Data Scientist,Harjai Computers,"Navi Mumbai, Maharashtra",Nothing_found,"Correlating similar data to find actionable results.
Searching through large data sets for usable information.
Salary: Not Disclosed by Recruiter."
588,ML Engineer/Statistician/Data Scientist – Pre-IPO Unicorn,CareerXperts,"Bengaluru, Karnataka",Nothing_found,As a Data Scientist / ML specialist you will focus on building next-generation platform services to identify right business problems that will be more…
589,Senior Data Scientist,Wolters Kluwer,"Kalyani Nagar, Pune, Maharashtra",Nothing_found,"Collects internal and external data for assigned projects.
Able to perform data manipulation and exploration tasks required to fully evaluate customer…"
590,Analyst – Data and Analytics,Marsh and McLennan,"Mumbai, Maharashtra",Nothing_found,"Gather, analyse and model data using analytical tools and techniques to develop business insights to drive decisions.
What is in it for you?"
591,Senior Data & Insights Analyst,MoneyGram,"Mumbai, Maharashtra",Nothing_found,"Use data to analyze and evaluate, transform data and insights into business recommendations, communicate learnings and recommendations to various audiences of…"
